flight_number,airline_name,airline_iata,aircraft_type,origin_airport,destination_airport,scheduled_departure,scheduled_arrival,flight_status,data_source,distance_km,passenger_capacity,load_factor,co2_per_passenger_kg,co2_per_passenger_per_km,total_co2_kg,data_extracted_at,is_domestic,efficiency_vs_industry,airline_efficiency_reported,sustainability_report_year,sustainability_data_source,altitude,velocity,flight_category,efficiency_rating
77,IndiGo,6E,,BLR,JED,2025-09-04T00:45:00+00:00,2025-09-04T03:45:00+00:00,scheduled,aviationstack_api,4189.74,180,0.7628998810963077,498.75,0.119,68489.34,2025-09-03T23:21:11.444291,False,1.355,,,,,,Ultra-long-haul,Average
193,Malaysia Airlines,MH,,BLR,KUL,2025-09-04T00:40:00+00:00,2025-09-04T07:30:00+00:00,scheduled,aviationstack_api,2883.71,180,0.802538897129181,347.28,0.1204,50167.03,2025-09-03T23:21:11.444291,False,1.371,,,,,,Long-haul,Average
7944,Japan Airlines,JL,,BLR,KUL,2025-09-04T00:40:00+00:00,2025-09-04T07:30:00+00:00,scheduled,aviationstack_api,2883.71,180,0.8867985583204386,314.28,0.109,50166.55,2025-09-03T23:21:11.444291,False,1.241,,,,,,Long-haul,Good
326,Thai Airways International,TG,,BLR,BKK,2025-09-04T00:30:00+00:00,2025-09-04T05:55:00+00:00,scheduled,aviationstack_api,2495.01,180,0.7963954795725318,303.59,0.1217,43519.99,2025-09-03T23:21:11.444291,False,1.386,,,,,,Long-haul,Average
5972,ANA,NH,,BLR,BKK,2025-09-04T00:30:00+00:00,2025-09-04T05:55:00+00:00,scheduled,aviationstack_api,2495.01,180,0.8060409863149242,299.95,0.1202,43518.96,2025-09-03T23:21:11.444291,False,1.369,0.085,2023.0,ESG Report,,,Long-haul,Average
7432,Air Canada,AC,,BLR,BKK,2025-09-04T00:30:00+00:00,2025-09-04T05:55:00+00:00,scheduled,aviationstack_api,2495.01,180,0.8557527745141824,282.53,0.1132,43519.65,2025-09-03T23:21:11.444291,False,1.289,0.091,2023.0,Sustainability Report,,,Long-haul,Good
102,Blue Dart Aviation,BZ,,BLR,BOM,2025-09-04T00:25:00+00:00,2025-09-04T02:05:00+00:00,scheduled,aviationstack_api,832.33,180,0.8275504054874763,120.79,0.1451,17992.77,2025-09-03T23:21:11.444291,False,1.653,,,,,,Medium-haul,Poor
304,Blue Dart Aviation,BZ,,BLR,DEL,2025-09-04T00:15:00+00:00,2025-09-04T02:55:00+00:00,scheduled,aviationstack_api,1702.69,180,0.7677941696589462,216.86,0.1274,29970.69,2025-09-03T23:21:11.444291,False,1.451,,,,,,Long-haul,Average
2814,Air India,AI,,BLR,DEL,2025-09-04T00:15:00+00:00,2025-09-04T02:55:00+00:00,scheduled,aviationstack_api,1702.69,180,0.805035142241005,206.83,0.1215,29970.98,2025-09-03T23:21:11.444291,False,1.384,,,,,,Long-haul,Average
4444,LOT - Polish Airlines,LO,,BLR,DEL,2025-09-04T00:15:00+00:00,2025-09-04T02:55:00+00:00,scheduled,aviationstack_api,1702.69,180,0.7052895091193621,236.08,0.1387,29970.85,2025-09-03T23:21:11.444291,False,1.58,,,,,,Long-haul,Average
