flight_number,airline_name,airline_iata,aircraft_type,aircraft_registration,origin_airport,destination_airport,origin_city,destination_city,scheduled_departure,scheduled_arrival,flight_status,flight_iata,flight_icao,passenger_capacity,distance_km,co2_per_passenger_kg,co2_per_passenger_per_km,data_extracted_at
463,Etihad Airways,EY,,,MEL,AUH,Melbourne - Tullamarine Airport,Abu Dhabi International,2025-08-15T05:00:00+00:00,2025-08-15T12:50:00+00:00,landed,EY463,ETD463,200,8410.572663944675,998.76,0.1188,2025-08-15T15:46:27.081252
5117,Oman Air,WY,,,MEL,AUH,Melbourne - Tullamarine Airport,Abu Dhabi International,2025-08-15T05:00:00+00:00,2025-08-15T12:50:00+00:00,landed,WY5117,OMA5117,200,8410.572663944675,998.76,0.1188,2025-08-15T15:46:27.081252
2700,Air Europa,UX,,,MEL,AUH,Melbourne - Tullamarine Airport,Abu Dhabi International,2025-08-15T05:00:00+00:00,2025-08-15T12:50:00+00:00,landed,UX2700,AEA2700,200,8410.572663944675,998.76,0.1188,2025-08-15T15:46:27.081252
8314,Turkish Airlines,TK,,,MEL,AUH,Melbourne - Tullamarine Airport,Abu Dhabi International,2025-08-15T05:00:00+00:00,2025-08-15T12:50:00+00:00,landed,TK8314,THY8314,200,8410.572663944675,998.76,0.1188,2025-08-15T15:46:27.081252
4263,Air New Zealand,NZ,,,MEL,AUH,Melbourne - Tullamarine Airport,Abu Dhabi International,2025-08-15T05:00:00+00:00,2025-08-15T12:50:00+00:00,landed,NZ4263,ANZ4263,200,8410.572663944675,998.76,0.1188,2025-08-15T15:46:27.081252
8081,EgyptAir,MS,,,MEL,AUH,Melbourne - Tullamarine Airport,Abu Dhabi International,2025-08-15T05:00:00+00:00,2025-08-15T12:50:00+00:00,landed,MS8081,MSR8081,200,8410.572663944675,998.76,0.1188,2025-08-15T15:46:27.081252
6645,Middle East Airlines,ME,,,MEL,AUH,Melbourne - Tullamarine Airport,Abu Dhabi International,2025-08-15T05:00:00+00:00,2025-08-15T12:50:00+00:00,landed,ME6645,MEA6645,200,8410.572663944675,998.76,0.1188,2025-08-15T15:46:27.081252
9627,El Al,LY,,,MEL,AUH,Melbourne - Tullamarine Airport,Abu Dhabi International,2025-08-15T05:00:00+00:00,2025-08-15T12:50:00+00:00,landed,LY9627,ELY9627,200,8410.572663944675,998.76,0.1188,2025-08-15T15:46:27.081252
4118,Alitalia,AZ,,,MEL,AUH,Melbourne - Tullamarine Airport,Abu Dhabi International,2025-08-15T05:00:00+00:00,2025-08-15T12:50:00+00:00,landed,AZ4118,AZA4118,200,8410.572663944675,998.76,0.1188,2025-08-15T15:46:27.087218
662,Etihad Airways,EY,,,DOH,AUH,Doha International,Abu Dhabi International,2025-08-15T10:45:00+00:00,2025-08-15T12:45:00+00:00,landed,EY662,ETD662,200,321.3733755479871,49.44,0.1538,2025-08-15T15:46:27.088082
712,Etihad Airways,EY,,,CAI,AUH,Cairo International Airport,Abu Dhabi International,2025-08-15T08:20:00+00:00,2025-08-15T12:40:00+00:00,landed,EY712,ETD712,200,2381.422294855641,288.73,0.1212,2025-08-15T15:46:27.088082
8066,EgyptAir,MS,,,CAI,AUH,Cairo International Airport,Abu Dhabi International,2025-08-15T08:20:00+00:00,2025-08-15T12:40:00+00:00,landed,MS8066,MSR8066,200,2381.422294855641,288.73,0.1212,2025-08-15T15:46:27.088082
419,Etihad Airways,EY,,,KUL,AUH,Kuala Lumpur International Airport (klia),Abu Dhabi International,2025-08-15T09:50:00+00:00,2025-08-15T12:40:00+00:00,landed,EY419,ETD419,200,5589.066324925035,663.7,0.1187,2025-08-15T15:46:27.088082
3413,flynas,XY,,,KUL,AUH,Kuala Lumpur International Airport (klia),Abu Dhabi International,2025-08-15T09:50:00+00:00,2025-08-15T12:40:00+00:00,landed,XY3413,KNE3413,200,5589.066324925035,663.7,0.1187,2025-08-15T15:46:27.088082
8155,EgyptAir,MS,,,KUL,AUH,Kuala Lumpur International Airport (klia),Abu Dhabi International,2025-08-15T09:50:00+00:00,2025-08-15T12:40:00+00:00,landed,MS8155,MSR8155,200,5589.066324925035,663.7,0.1187,2025-08-15T15:46:27.088082
